,cos_sim,cos_mo,cos_dif,cos_mo_dif,ele_sub
635,-0.01476,-0.01199,0.98524,0.98801,0.01174
636,-0.01187,-0.0094,0.98813,0.9906,0.01216
637,-0.00953,-0.00764,0.99047,0.99236,0.01223
638,0.02786,0.02217,0.97214,0.97783,0.01086
639,0.02093,0.01679,0.97907,0.98321,0.01221
640,0.01469,0.01172,0.98531,0.98828,0.01105
641,0.04931,0.03966,0.95069,0.96034,0.0093
642,0.08733,0.07057,0.91267,0.92943,0.00961
643,0.05786,0.04633,0.94214,0.95367,0.01003
644,-0.03282,-0.02625,0.96718,0.97375,0.0131
645,-0.01926,-0.01533,0.98074,0.98467,0.01336
646,-0.01734,-0.01403,0.98266,0.98597,0.01201
647,-0.01056,-0.00832,0.98944,0.99168,0.01191
648,-0.01217,-0.00975,0.98783,0.99025,0.01262
649,0.03615,0.02868,0.96385,0.97132,0.01118
650,0.01421,0.01136,0.9857899999999999,0.98864,0.01263
651,0.01845,0.0147,0.98155,0.9853,0.01146
652,0.05081,0.04066,0.94919,0.95934,0.00973
653,0.06943,0.05563,0.93057,0.94437,0.01097
654,0.03984,0.03176,0.96016,0.96824,0.01077
655,-0.02701,-0.02431,0.97299,0.97569,0.00859
656,0.01623,0.0145,0.98377,0.9855,0.00965
657,-0.02945,-0.02656,0.97055,0.97344,0.00986
658,-0.05967,-0.05339,0.94033,0.94661,0.01096
659,0.02359,0.02123,0.97641,0.97877,0.01764
660,-0.0314,-0.02823,0.9686,0.97177,0.00902
661,0.0359,0.03317,0.9641,0.96683,0.02454
662,-0.02674,-0.02415,0.97326,0.97585,0.00987
663,-0.04248,-0.03799,0.95752,0.96201,0.01087
664,0.03768,0.03476,0.96232,0.96524,0.017
665,-0.02524,-0.02271,0.97476,0.97729,0.00877
666,0.05521,0.05225,0.94479,0.94775,0.02212
667,-0.02314,-0.02092,0.97686,0.97908,0.01021
668,-0.01925,-0.01719,0.98075,0.98281,0.00982
669,0.03645,0.03432,0.96355,0.96568,0.017
670,-0.02148,-0.01936,0.9785200000000001,0.98064,0.00869
671,0.05089,0.04762,0.94911,0.95238,0.02239
672,-0.02494,-0.02258,0.97506,0.97742,0.01038
673,-0.02599,-0.02325,0.97401,0.97675,0.01023
674,0.03231,0.0302,0.96769,0.9698,0.01726
675,-0.01019,-0.00862,0.98981,0.99138,0.01148
676,-0.01719,-0.01438,0.98281,0.98562,0.01157
677,0.01446,0.01239,0.98554,0.98761,0.00819
678,0.00046,0.00039,0.99954,0.99961,0.00989
